Source,Target,Weight
90,1756,4
1909,1728,1
1768,1767,1
1758,1958,1
1773,1982,1
206,1590,34
1604,124,1
1012,1737,2
206,1982,1
1015,209,12
890,93,9
1589,206,12
1737,1595,1
1012,1545,1
2033,890,1
1835,1613,1
1771,1015,11
93,1771,4
2014,1010,7
890,1590,1
209,354,110
1595,1590,1
215,1758,2
1619,1613,1
1767,1013,2
1908,1103,1
1773,1919,1
209,1734,4
1011,90,2
1840,1012,2
1769,1588,1
1767,206,1
1737,1810,7
1923,122,1
1618,1741,19
1923,1012,8
1762,211,11
219,1806,1
1544,890,1
1821,208,1
1767,1774,1
90,93,42
1728,1979,7
1968,1971,1
1588,1012,19
1613,2044,4
1595,1982,1
211,1965,2
1534,1728,1
1955,1821,1
1616,1618,2
1834,1615,1
90,1590,4
1754,210,12
1968,1590,1
1821,96,1
1767,1760,1
1013,1011,5
1590,353,14
890,1015,3
1762,1977,5
1736,1983,1
1588,2014,13
1011,1770,1
1762,1728,1
1735,1953,1
1728,1816,1
890,90,1
1750,1977,3
1980,1590,1
1770,209,1
206,1979,2
1980,1974,1
1117,1615,1
2044,1012,1
1756,353,3
1728,1762,6
1012,890,3
1589,209,2
1553,1010,1
1619,1845,1
1012,1013,9
1103,124,1
1010,2024,4
1595,1587,1
1536,1845,1
694,1010,2
1769,211,1
1012,206,3
1750,1751,5
1011,93,1
208,1589,18
1973,1012,1
1950,1010,1
213,1756,5
1773,1767,1
2016,1737,2
1012,1823,2
90,1762,1
1738,1977,4
1774,1923,2
1728,1982,6
211,1730,36
1758,209,2
1618,1738,1
1615,1010,1
1012,1923,1
1010,1772,4
209,1980,3
207,1969,1
1754,1756,2
1737,1589,4
1944,1590,2
1015,1117,1
210,1758,2
1589,1737,1
1771,96,1
1728,1965,7
1010,1749,2
1969,206,1
1593,354,3
1908,1011,1
1977,1541,1
121,96,1
1757,211,1
206,207,2
1821,1845,2
96,1729,1
1980,208,1
96,209,2
1767,1674,1
353,210,1
1973,211,1
1015,1108,1
1769,2014,3
206,1587,58
211,1762,22
1536,1015,1
206,90,1
1736,211,8
219,1757,1
1760,1010,1
1010,1921,8
354,1980,2
1613,890,1
1762,354,31
1756,1758,1
211,1590,27
1728,1730,3
1845,354,1
1587,206,10
211,1982,4
1965,1730,1
209,1015,1
1587,1821,19
1736,1113,2
1015,2010,1
388,353,2
1982,208,1
354,1969,1
1845,206,1
1754,354,1
1613,1117,1
1768,1012,7
1010,1773,5
1589,1592,2
1737,210,1
1015,1103,1
1553,209,1
1810,353,1
1587,1595,4
353,354,2
1762,1964,2
1010,1973,1
430,209,1
302,1758,1
1587,1979,2
1984,1012,1
1010,1950,8
1015,1770,2
1012,1011,23
1732,213,1
207,206,3
1614,1619,2
1012,1978,1
1741,1618,3
1982,2043,1
1536,1010,1
890,1754,1
211,1983,3
1592,219,1
1979,353,1
1015,1564,1
1845,890,2
1754,208,17
1923,1760,1
1015,1756,6
890,211,1
121,890,1
211,354,64
1015,90,20
1774,1772,1
1821,1588,7
2024,1736,2
1587,2016,1
1605,890,1
1760,1758,3
1595,1983,2
1757,1729,1
1564,93,1
90,1731,3
1739,1982,1
1845,1909,1
210,1587,11
2016,2024,12
1757,209,1
1613,1103,2
90,211,2
1113,1012,2
211,2043,15
210,1979,3
1729,1964,2
1010,1810,1
1767,1108,1
1751,1750,16
353,208,1
1012,1741,4
1015,1933,1
689,1738,1
1983,1967,1
1012,1769,1
90,1010,1
1954,1769,1
1010,124,1
1614,1834,1
1589,1967,2
1736,209,2
90,1983,1
1103,1908,1
1736,1589,3
211,1737,1
1762,1732,1
1823,2014,1
1750,890,1
426,1587,1
1012,2024,1
215,1730,3
96,1767,1
1982,354,3
93,1755,1
1964,1821,1
1728,211,27
124,1732,1
1113,1980,1
1984,90,1
1728,1983,1
206,1754,66
207,1818,1
1011,1015,2
1935,1929,1
1821,1113,2
1968,354,1
1012,1592,1
1728,1751,1
1618,207,1
1594,1538,1
388,1587,8
1015,1976,1
1729,1984,1
90,354,1
1845,1010,4
1613,1741,2
213,1590,19
206,689,1
1010,1767,53
1771,1010,2
1977,354,2
93,1732,2
1769,1823,1
204,1010,1
1923,890,3
1967,1587,1
1590,219,1
1589,2024,1
211,1977,3
1929,1117,1
1010,1618,32
1589,1821,13
208,1593,3
1616,1012,1
1589,1844,1
1732,1730,3
1840,1823,1
1976,1729,1
209,1757,8
1773,1012,2
1741,1738,1
1619,1614,4
93,1821,2
1595,354,3
1010,1979,6
211,1734,3
1010,1103,5
1934,90,1
2024,2016,2
1737,1813,1
1545,1012,1
1969,1589,1
1012,1772,3
1955,1587,10
1767,1967,1
124,1729,1
204,1754,21
93,1758,4
207,1589,1
124,209,6
1587,210,2
1944,354,12
1738,1010,1
208,1845,1
207,209,5
1687,1607,1
1844,1012,3
1604,1607,1
1821,1010,13
2014,1589,6
1979,90,1
1908,1015,1
1823,1977,1
306,354,2
890,1757,1
1729,1967,1
1737,1012,1
1954,1010,3
206,1968,1
209,1591,3
1751,1767,1
1974,1773,1
1845,2044,2
1755,1921,3
1977,1012,1
1587,1982,2
1015,93,21
1762,209,2
1834,1618,4
1735,1731,1
1103,1922,1
1922,1103,1
1770,1756,1
1728,1977,9
2035,890,1
1728,354,1
1758,353,2
1749,1012,2
1108,1015,1
90,1757,1
1015,124,5
1767,1758,1
1614,1845,2
1108,1908,1
1909,1013,1
1588,1010,10
428,1589,1
93,767,2
2024,1587,1
208,1756,3
1587,1844,2
1841,1950,1
1103,1012,3
1741,2044,2
1750,209,1
206,208,8
1015,1544,1
1739,1770,1
220,213,1
1593,1591,1
1012,1935,2
93,206,2
354,1981,1
1771,1929,3
1687,1604,1
1010,1117,2
207,1984,1
1983,215,1
1729,209,1
1908,1762,1
1762,1729,1
1762,1806,1
93,890,1
1735,354,3
1108,1118,1
213,96,1
1012,1821,11
1983,1758,3
211,689,1
215,1590,2
1980,1113,1
208,1587,20
1738,209,1
1728,1980,9
1010,1738,1
1768,1015,7
1015,1973,1
1613,124,1
213,1762,15
1012,1758,3
1010,1770,35
1010,1939,1
1754,428,5
1757,1969,1
1012,1589,2
1012,2044,1
1012,1921,1
1012,1950,18
1589,1595,5
1737,1587,1
1012,1729,1
96,121,2
204,1760,9
1012,209,9
211,1757,6
2015,1012,2
1015,353,1
1982,1754,1
1011,1771,1
1834,1741,3
1618,1816,1
1012,1844,3
1845,1614,1
206,354,1
689,1758,3
1773,1774,6
212,1589,3
1737,1979,3
1821,1737,1
1590,208,5
1015,1773,4
1010,1684,1
1950,1011,8
1977,93,1
1935,890,2
211,1980,1
428,1821,1
2024,90,1
1730,1762,1
90,1771,4
1821,1823,4
353,428,2
689,209,3
1755,1935,9
1613,1618,2
1012,2041,1
1587,353,31
1737,1590,2
1010,1821,49
96,124,2
1010,1011,11
1732,1953,1
354,1806,1
1844,1015,1
1741,1117,2
1908,1012,6
694,1589,2
1767,209,1
1012,1108,2
1816,689,1
213,354,16
1590,1593,1
1117,1810,1
1730,213,1
1977,1590,1
1770,1933,1
1616,1845,2
1737,1982,3
1113,1977,1
1845,220,1
209,1729,71
1536,1534,1
2014,1844,2
1728,1974,2
890,1760,1
2014,1821,40
1729,1758,1
1729,215,1
1590,1977,1
1015,1750,12
96,1770,1
1587,207,1
1684,1618,1
1728,1731,2
1909,209,1
1108,1012,3
1749,1015,1
1813,1012,1
1979,210,1
96,1564,1
1605,220,1
1977,90,2
206,428,1
1923,1754,1
1012,1964,1
1012,1117,7
1774,1921,2
1616,1619,2
1731,209,1
1015,121,1
1013,1012,2
90,1754,1
890,208,2
1538,1582,1
1939,1015,1
1590,354,58
1974,1950,1
1015,1979,2
